title,price,area,type,address,description,law,type_estate,province,district,bedroom,toilet,floor,direction,entrance_width,width,image_links,phonenumber,geo_code
"Tòa căn hộ cho thuê 7t dt 80 triệuth 75m2 27tỷ5 văn cao, ba đình. oto đỗ cửa",27.5,75.0,Mua Bán,"Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội","<p>Chính chủ nhờ bán, tòa căn hộ cho thuê khu liền kề phân lô đường Văn Cao, Ba Đình. Oto đỗ cửa, vỉa hè rộng rãi</p><p>Thiết kế 7 tầng thang máy, tổng 12 căn hộ full nội thất.</p><p>Doanh thu đều hơn 80 triệu/tháng.</p><p>Diện tích: 75m², mặt tiền 4m.</p><p>Giá: 27.5 tỷ (Thương lượng tốt, làm việc trực tiếp chủ nhà).</p><p>- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch.</p><p>Liên hệ xem nhà và nhận thông tin chi tiết: 0819795328<br/></p>",Có Sổ đỏ,Nhà đất thổ cư,Hà Nội,Ba Đình,11.0,11.0,7,,7 (m),4,https://nhadat24h.net//Upload/User/DangTin/2024/Images/347141/9254aec1-25fb-45c5-bece-d6f3d15a10f4.jpg,0819795328,
"Mảnh đất lô góc mặt ngõ phố trích sài, tây hồ 105m2 27tỷ ngõ thông, oto vào nhà",27.0,105.0,Mua Bán,"Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","<p>Chính chủ nhờ bán, mảnh đất thổ cư mặt ngõ phố Trích Sài, Tây Hồ. Ngõ thông sang phố Lạc Long Quân</p><p>Vị trí cực đẹp, lô góc gần mặt hồ Tây cách 50m. Đường trước nhà rộng oto vào nhà</p><p>Diện tích: 105m2 mặt tiền 4.7m</p><p></p><p>- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch</p><p>Liên hệ xem nhà và nhận thông tin chi tiết: </p>",Có Sổ đỏ,Nhà đất thổ cư,Hà Nội,Tây Hồ,11.0,11.0,1,,5 (m),4.7,https://nhadat24h.net//Upload/User/DangTin/2024/Images/347141/c8b9796a-8688-4d0f-87bd-b05f785ae801.jpg,0819795328,"[21.0415726, 105.8264577]"
"Hiếm, nhà 2t 32m2 16tỷ8 mặt phố kim mã, ba đình. mặt tiền lớn, kd sầm uất",16.8,32.0,Mua Bán,"Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội","Chính chủ nhờ bán nhà 2 tầng mặt phố Kim Mã, Ba Đình. Đoạn đẹp nhất phố vỉa hè rộng kinh doanh cực sầm uất<br/>Nhà hiện đang cho thuê kinh doanh 35 triệu/tháng<br/>Diện tích: 32m² mặt tiền 4.4m<br/> (THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)<br/>- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch<br/>Liên hệ xem nhà và nhận thông tin chi tiết:",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Ba Đình,2.0,2.0,2,,21 (m),4.4,https://nhadat24h.net//Upload/User/DangTin/2024/Images/347141/4eabb02e-8d50-48a0-a98a-81559bbeb6c4.jpg,0819795328,"[21.0319667, 105.8295907]"
"Mảnh đất lô góc mặt ngõ phố trích sài, tây hồ 105m2 27tỷ ngõ thông, oto vào nhà",27.0,105.0,Mua Bán,"Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","<p>Chính chủ nhờ bán, mảnh đất thổ cư mặt ngõ phố Trích Sài, Tây Hồ. Ngõ thông sang phố Lạc Long Quân</p><p>Vị trí cực đẹp, lô góc gần mặt hồ Tây cách 50m. Đường trước nhà rộng oto vào nhà</p><p>Diện tích: 105m2 mặt tiền 4.7m</p><p></p><p>- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch</p><p>Liên hệ xem nhà và nhận thông tin chi tiết: </p>",Có Sổ đỏ,Nhà đất thổ cư,Hà Nội,Tây Hồ,11.0,11.0,1,,5 (m),4.7,https://nhadat24h.net//Upload/User/DangTin/2024/Images/347141/c8b9796a-8688-4d0f-87bd-b05f785ae801.jpg,0819795328,"[21.0415726, 105.8264577]"
"Bán nhà phạm ngọc thạch, gần phố, dân xây, 36m4 tầng. chỉ 6.6 tỷ.",6.6,36.0,Mua Bán,"Phường Phương Liên, Quận Đống Đa, Hà Nội","BÁN NHÀ DÂN XÂY, GẦN PHỐ, TRƯỚC NHÀ XE BA GÁC TRÁNH, 1 BƯỚC RA MẶT PHỐ TẠI KHU VỰC PHAM NGỌC THẠCH, XÃ ĐÀN , CHÙA BỘC, ĐẶNG VĂN NGỮ, HỒ ĐẮC DI... QUẬN ĐỐNG ĐA. VỚI DIỆN TÍCH 36M, XÂY DỰNG 4 TẦNG KHUNG CỘT. CHỈ 6.6 TỶ ( CÓ THƯƠNG LƯỢNG).<br/><br/>Căn nhà tọa lạc tại vị trí đắc địa, trung tâm trọng đểm phát triển của QUẬN, xung quanh nhà tiện ích bạt ngàn không thiếu thứ gì như : chợ, trường học chất lượng cao các cấp, hồ điều hòa, công viên, trung tâm thương mại, bệnh viện, bãi gửi xe...cùng rất nhiều tòa nhà văn phòng, cơ quan hành chính công.<br/><br/>Nhà chủ xây cực tâm huyết, được vài năm còn rất mới, thiết kế hiện đại và tối ưu công năng sử dụng gồm :<br/>-Tầng 1 : để xe, phòng khách, bếp, vệ sinh.<br/>-Tầng 2,3 : mỗi tầng 1 phòng ngủ rộng, vệ sinh.<br/>-Tầng 4 : phòng thờ, sân phơi.<br/>NHÀ XÂY KHUNG CỘT, LÊN TẦNG THỎA MÁI.<br/>Sổ đỏ vuông vắn, cất két, giao dịch ngay.<br/>Gía chào chỉ : 6.6 tỷ ( có thương lượng).<br/>Liên hệ xem nhà ngay hôm nay : 0919922358 ( Tài nhà đất ).",Có Sổ đỏ,Nhà trong ngõ,Hà Nội,Đống Đa,2.0,3.0,4,Tây Nam,2.5 (m),3.1,https://nhadat24h.net//Upload/User/DangTin/2024/Images/525827/bdf6e09b-764c-45ce-a555-278133b1e9ad.jpg,0919922358,"[21.0113036, 105.8374382]"
"Hot _ bán đâts tiên dương,diện tích 60m mặt tiền 4m giá 2x tỷ",2.0,60.0,Mua Bán,"Xã Tiên Dương, Huyện Đông Anh, Hà Nội","Bán đât tiên dương,đường to rộng,ô tô đỗ cửa,500m ra đường võ nguyên giáp,15 phút lên nội bài,gần chợ trường học 3 cấp luôn",Có Sổ đỏ,Nhà đất thổ cư,Hà Nội,Đông Anh,,,,,3 (m),4,https://nhadat24h.net//Upload/User/avatar/2024/476683/Avatar/aa113ae4-7c42-46d3-a777-59084af159f4.jpg,0975112013,"[21.14839075, 105.8333899188516]"
Bán nhà mặt tiền gò vấp đường số 6 ngang 5m dài 9m 1 trệt 1 lầu.,5.1,44.0,Mua Bán,"Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh","<p>Bán nhà Mặt tiền Gò Vấp Đường số 6 ngang 5m dài 9m 1 trệt 1 lầu.</p><p>GÒ VẤP GIÁP BÌNH THẠNH - HẺM XE TẢI NÉ XE TẢI - 44M2 - MẶT TIỀN KINH DOANH ĐỈNH CỦA CHÓP CHỈ NHỈNH 100TR/M2.<br/>Mô tả:<br/>- Dt cn: 43.5m2.<br/>- Ngang 5.55m.<br/>- 3PN, 2WC. <br/>- 1 trệt 1 lầu.<br/>- Mặt tiền tiện cho việc kinh doanh. Trước kd quán nhậu, sau lấy lại để bán vì cần phát triển kd xưởng thép.<br/>- Hiện đang cho gd thuê ở 10tr/ tháng. <br/>- Hẻm thông khắp nẻo, cách Emart Phan văn Trị 100m. Hẻm thông ra Lương Ngọc Quyến. Thuận tiện di chuyển ra các quận trung tâm chỉ vài phút.<br/>- Gần Nguyễn Xí, Phan văn Trị, Trường ĐH Công Nghiệp, ĐH Văn Lang.....<br/>- Sổ hồng chính chủ, công chứng ngay.<br/><br/></p>",Có Sổ đỏ,Nhà mặt phố,Hồ Chí Minh,Gò Vấp,3.0,2.0,1,,8 (m),5,https://nhadat24h.net//Upload/User/DangTin/2024/Images/488394/6fc78ec1-b8b8-4aa1-a9fe-4a6e0318c17b.jpg,0911194001,"[10.8247909, 106.6945423]"
"Tòa building mặt phố dốc ngữ ba đình dt120m, 7 tầng, mt6m, giá59 tỷ",59.0,120.0,Mua Bán,"Phường Giảng Võ, Quận Ba Đình, Hà Nội","<p>TÒA BUILDING MẶT PHỐ 7 TẦNG BỀ THẾ QUẬN BA ĐÌNH - THANG MÁY NHẬP NGOẠI - VỈA HÈ THÊNH THANH - 2 THOÁNG VĨNH VIỄN ( MỘT MẶT PHỐ 1 MẶT NGÕ) - KINH DOANH ĐỈNH - HIỆU SUẤT CHO THUÊ CAO</p><p> ✅ Tòa nhà tọa lạc tại vị trí vô cùng đắc địa (2 thoáng trước sau: Gồm 1 mặt phố và 1 mặt ngõ ( Ngõ sau rộng 3m) vỉa hè rộng, ô tô 2 chiều, kinh doanh sầm uất ngày đêm đa loại hình, giao thông kết nối các tuyến phố huyết mạch Văn Cao, Đội Cấn, Hoàng Hoa Thám..đi lại vô cùng thuận tiện, vài bước ra Hồ Tây lộng gió.</p><p> ✅ Nhà thiết kế 7 tầng mỗi tầng 2 phòng mới đẹp chắc chắn, hiện đại, thang máy nhập ngoại chạy vù vù. Hiện đang cho Trường Mầm Non quốc tế thuê với hiệu suất 1.2 tỷ/năm</p><p>. 📕 Pháp lý: Sổ đỏ chính chủ nở hậu đẹp, sẵn sàng giao dịch.<br/><br/></p>",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Ba Đình,,,7,,12 (m),6,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/2fe2f4cb-078c-4598-8a7d-cffb3afa37bc.jpg,0964360618,"[21.0269451, 105.8180198]"
Bán nhà mp đại la hbt dt65m 2 tầng lô góc giá 25 tỷ 300 vị trí đẹp kd đỉnh,25.3,65.0,Mua Bán,"Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội","<p>MẶT PHỐ - LÔ GÓC- CHO THUÊ HAY KINH DOANH ĐỀU ỔN VỊ TRÍ NGAY NGÃ TƯ BẠCH MAI, MINH KHAI , TRƯƠNG ĐỊNH, NHÀ CŨ KHÔNG CÓ GÌ MÔ TẢ, GIA ĐÌNH BÁN ĐỂ CHIA THỪA KẾ</p><p> Nhà cũ xác định bán đất, khách mua về xây tòa nhà vp cực đẹp</p><p> Sổ đỏ chính chủ giao dịch ngay.<br/><br/></p>",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Hai Bà Trưng,,,,,20 (m),,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/ddabe115-640c-4fed-af9d-315265fb1eb0.jpg,0964360618,"[21.011173, 105.8485322]"
Bán nhà mặt phố vũ trọng phụng thanh xuân dt40m 7 tầng quy hoạch ổn định kd đỉnh,24.5,40.0,Mua Bán,"Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội","<p>💥💥💥💥💥 SIÊU PHẨM MẶT PHỐ VŨ TRỌNG PHỤNG - MẶT ĐƯỜNG 2 CHIỀU QUY HOẠCH ỔN ĐỊNH - TRUNG TÂM KINH DOANH ĐỈNH CHÓP THANH XUÂN 💥💥💥💥💥</p><p>🏠 Mô tả: </p><p>👉 Vị trí cực đẹp gần ngã 3 giao trục huyết mạch Nguyễn Trãi - Hà Đông. Cách ĐH KHTN HN, ĐHKHXHNV chỉ vài bước chân.</p><p> 👉 Mặt tiền rộng, quy hoặch ổn định. Vỉa hè đá bóng, ô tô dừng đỗ ngày đêm. Kinh doanh đa tầng, showroom, thẩm mỹ viện, phòng khám, siêu thị bán lẻ, kinh doanh cafe, vv ..</p><p>. 👉 Hiện chủ nhà đang cho thuê 65 triệu.<br/><br/></p>",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Thanh Xuân,5.0,,7,,30 (m),4.6,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/88fbae56-fbef-4167-b622-1597138294f5.jpg,0964360618,"[20.9959112, 105.8057609]"
Cần bán đất tứ hiệp thanh trì dt 42m2 giá 3tỷ 250 gần trường chu văn an,3.25,45.0,Mua Bán,"Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội","Tiện ích xung quanh không thiếu thứ gì, từ trường học, bệnh viện,... Ngay cạnh chợ dân sinh, khu vực dân trí cao, anh ninh đảm bảo.<br/><br/> Mảnh đất cách đường ô tô tránh chỉ 10m, ngay hồ điều hòa, gần trung tâm hành chính của huyện, tiện ích ngập tràn.<br/> Sổ sẵn sàng giao dịch ngay.",Có Sổ đỏ,Nhà đất thổ cư,Hà Nội,Thanh Trì,,,,,,4,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/306a14e7-e52b-4dd3-8f65-78705f9c8b2a.jpg,0964360618,"[20.93965965, 105.8538870454004]"
Bán nhà mặt phố minh khai hbt dt55m 6 tầng thang máy giá 26 tỷ.vỉa hè rộng kd,26.0,55.0,Mua Bán,"Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","<p>-Vị trí mặt phố Minh Khai, vỉa hè rộng mênh mông kinh doanh sầm uất. Gần khu Time city, nơi tập trung rất nhiều trường Đại học và bệnh viện lớn, đủ mọi tiện ích. Khu vực dân trí cao, an ninh cực kỳ tốt.</p><p>- Nhà mặt phố Minh Khai đang cho thuê 2 năm đầu 65 triệu/ tháng, 3 năm tiếp theo 69 triệu/tháng.</p><p>- Nhà xây năm 2019 còn mới.</p><p>_ Sổ sẵn sàng giao dịch<br/><br/></p>",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Hai Bà Trưng,,,6,,30 (m),,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/253b84b4-cfed-4ea5-b042-5ee37219c88a.jpg,0964360618,"[20.9962306, 105.857312]"
Bán gấp chung cư booyoung vũ trọng khánh hà đông dt110m giá 5tỷ200 tặng nội thất,5.2,110.0,Mua Bán,"Phường Mộ Lao, Quận Hà Đông, Hà Nội","<p>CH TRUNG TÂM HÀ ĐÔNG - VIEW TP - TIỆN ÍCH NGẬP TRÀN</p><p>Thiết kế: </p><p>3 Ngủ 2vs 2 logia FULL NỘI THẤT TIỀN TỶ Chủ để toàn bộ nội thất như hình, cả đồ điện tử: Tivi, tủ lạnh, 3 điều hòa, máy giặt....</p><p> Khách chỉ xách va li về ở.<br/><br/></p>",Có Sổ đỏ,Căn hộ chung cư,Hà Nội,Hà Đông,,,30,,,,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/f027d70d-e644-4a68-aa88-c61fbe8b3691.jpg,0964360618,"[20.9821715, 105.7842539]"
"Bán nhà riêng mặt phố phan bội châu hoàn kiếm dt 320m2,3 tầng mt 18m giá 180 tỷ",0.96,320.0,Mua Bán,"Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội","Em số 2 không ai là số 1.<br/>Mảnh đất vàng mặt phố Hoàn Kiếm mặt tiền quyền lực.<br/><br/> Mảnh đất có vị trí vô cùng đắc địa lô góc tại trung tâm quận Hoàn Kiếm, là điểm giao nhau của các phố như Tràng Thi, HBT, Cửa Nam, Trần Hưng Đạo, Lý Thường Kiệt.<br/> Là 1 trong những con phố dc các đại gia săn tìm đáng sống bậc nhất phố cổ Hà Nội.",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Hoàn Kiếm,,,3,,,18,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/5ba5e6db-1582-4136-b61c-06a33e545694.jpg,0964360618,"[21.0249965, 105.8423489]"
Bán tòa nhà vp 12 tầng xuân thủy cầu giấy dt400m mt14 giá 320 tỷ,320.0,400.0,Mua Bán,"Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","<p>✅ Vị trí : Tòa nhà tọa lạc tại vị trí vô cùng đắc địa, ngay ngã tư Xuân Thủy </p><p> ✅Thiết kế: - Nhà 12 tầng trong đó: 2 tầng hầm và 10 tầng nổi. Toàn bộ mặt tiền được làm bằng kính hộp chống nóng, phong cách hiện đại </p><p>- Tầng 1 - 8 : thiết kế thông sàn, vuông đét trước sau như một, không cột chống nên tối đa công năng sử dụng </p><p>- Tầng 9 : tầng thượng, view rất đẹp toàn cảnh xung quanh, có thể làm bar, cafe rooftop, hoặc làm căng tin cho nhân viên </p><p>- 2 tầng hầm siêu rộng </p><p>- Thiết kế 2 thang máy công suất lớn, 2 thang bộ, hệ thống phòng cháy chữa cháy tự động</p><p> - Sau nhà có ngõ nhỏ làm lối thoát hiểm khi gặp sự cố PHÙ HỢP LÀM VĂN PHÒNG, CHO THUÊ VĂN PHÒNG DÒNG TIỀN KHỦNG HOẶC KHÁCH SẠN.. </p><p>* Pháp lý: - Sổ đỏ chính chủ, đã ghi nhận tài sản trên đất vào sổ<br/><br/></p>",Có Sổ đỏ,"Văn phòng, TTTM, Cửa hàng, Kiot",Hà Nội,Cầu Giấy,,,12,,,14,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/dd5cf983-1a12-4c46-859c-6f4b5c23f3ab.jpg,0964360618,"[21.0350602, 105.793398]"
Nhà phố xuân thủy cầu giấy dt110m 8 tầng giá 44 tỷ vỉa hè rộng kd đỉnh,Thỏa thuận,110.0,Mua Bán,"Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","<p>Khu vực sầm uất, tiện ích ngập tràn, đối diện ĐH Quốc Gia, gần Công viên Cầu Giấy, Chợ sinh viên, Bến xe Mỹ Đình.</p><p>Doanh thu khủng, hiện tại đang cho đơn vị thuê 100tr/tháng.</p><p>Thiết kế:</p><p>- Tầng 1: Hầm để xe, bảo vệ 24/7.</p><p>- Tầng 2 : Cho thuê salon tóc.</p><p>- Tầng 3,4,5,6,7,8: thiết kế thông sàn đang cho thuê Gym, văn phòng.</p><p>- Thang máy, thang bộ cuối cùng.</p><p>Nhà sổ diện tích 103m2, thực tế xây dựng 110m2. GPXD đầy đủ.</p><p>Vị trí đẹp nhất Đường Xuân Thuỷ, nói không với quy hoạch.<br/><br/></p>",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Cầu Giấy,,,8,,20 (m),,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/1695e1a2-b6cc-4bd7-a3f5-7774487b31cb.jpg,0964360618,"[21.0409079, 105.7750351]"
Tòa vp vừa ở vừa cho thuê 7 tầng nguyễn xiển thanh xuân dt60m giá 21 tỷ500,21.5,60.0,Mua Bán,"Phường Khương Trung, Quận Thanh Xuân, Hà Nội","<p>💥 7 TẦNG THANG MÁY NHẬP - MẶT PHỐ VIP - VỈA HÈ RỘNG - KINH DOANH ĐỈNH </p><p> MÔ TẢ</p><p>. ✅️ Vị trí siêu víp, đoạn phố rộng đẹp nhất, vỉa hè 6m ô tô dừng đỗ đêm</p><p> ✅️ Tòa nhà hiện đại 7 tầng thang máy, chủ thiết kế độc đáo, thang máy nhập êm ru, nội thất 100% nhập. Xây 2010 hiện đang cho thuê giữ nhà 25tr/tháng. </p><p>✅️ Kinh doanh vô địch phù hợp mọi loại hình: Ngân hàng, văn phòng, thẩm mỹ viện, nhà hàng, trung tâm... </p><p>👉 Thiết kế. Tầng 1. Kinh doanh</p><p> gara. Tầng 2.3.4.5.6. Tổng 10 phòng khép kín cho thuê.</p><p> Tầng 7. Phòng thờ sân phơi.</p><p> 📕Sổ đỏ chính chủ sẵn sàng giao dịch.</p><p><br/></p>",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Thanh Xuân,8.0,,7,,30 (m),,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/93a04edf-9dda-4672-89a5-5370a21b06a6.jpg,0964360618,"[20.9973125, 105.8222383]"
Cực hiếm biệt thự liền kề vip fafim phố trường chinh dt100m 5 tầng giá 29tỷ500,Thỏa thuận,100.0,Mua Bán,"Phường Khương Mai, Quận Thanh Xuân, Hà Nội","BIỆT THỰ LIỀN KỀ VIP FAFIM PHỐ TRƯỜNG CHINH - Ô TÔ TRÁNH - VỈA HÈ - THANG MÁY - VĂN PHÒNG CÔNG TY - BỂ BƠI 4 MÙA - NGẬP TRÀN CÂY XANH, AN SINH ĐỈNH <br/><br/>❌❌( ACE tuyệt đối không đăng ảnh mặt tiền và tả quá rõ vị trí ạ, vì cả khu này chỉ có chục căn Liền kề, khách sẽ tự tìm ra trong nốt nhạc ).<br/><br/>X Fafim Biệt thự liền kề Nguyễn Trãi 92/100 5 5.5 29.5 tỷ Thanh Xuân 20 đến 50 HĐ Chuyên gia Lệ TP An Thịnh 0966336689 H3%.<br/><br/>* Vị trí: Ngay ngã tư đầu phố Trường Chinh - Nguyễn Trãi - Tây Sơn - Láng. View cực đẹp, khu vực vip rất hiếm nhà bán.<br/><br/>- Toàn giới Đại gia ở, cơ sở hạ tầng, dân trí cực tốt, xung quanh ngập tràn tiện ích như: Bể bơi 4 mùa, siêu thị, các Công ty lớn nhỏ...<br/><br/>- Đường ô tô tránh, dừng đỗ ngày đêm thoải mái, vỉa hè rộng, đường nội bộ, an ninh tuyệt đối. Không gian sống tuyệt vời, ngập cây xanh, yên tĩnh, sạch sẽ, đáng sống, khách đến xem không muốn về.<br/><br/>* Thiết kế: Cực đẹp và hiện đại, thang máy xịn êm du, nhà xây cực chất, giếng trời rộng, 2 thoáng vĩnh viễn.<br/><br/> Tầng chia 2 phòng, thang máy, thang bộ giữa. Nội thất xịn, chủ thiết",Có Sổ đỏ,"Nhà biệt thự, liền kề",Hà Nội,Thanh Xuân,6.0,,5,,20 (m),5,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/f6de6261-4795-4749-b598-bf4473ea32bf.jpg,0964360618,"[20.9971341, 105.8290537]"
"Bt linh đàm hoàng mai dt200m, 4 tầng, giá 39 tỷ. chủ tặng toàn bộ nội thất .",39.0,200.0,Mua Bán,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",,Có Sổ đỏ,"Nhà biệt thự, liền kề",Hà Nội,Hoàng Mai,,,4,,20 (m),10,https://nhadat24h.net//Upload/User/DangTin/2023/Images/466072/38266a90-d252-46ea-b684-df678e7281f6.jpg,0964360618,"[20.9730903, 105.8250742]"
Tòa văn phòng lê trọng tấn thanh xuân dt182m 8 tầng lô góc dòng tiền siêu khủng.,72.0,182.0,Mua Bán,"Phường Khương Mai, Quận Thanh Xuân, Hà Nội","<p>Khối trước: 100m xây 8 tầng thông sàn, mỗi tầng 1 phòng và 1wc, thang máy và thang bộ trong cùng</p><p>Khối sau: xây 65m x 4 tầng. Tầng 1 thông sàn, bếp và 1wc; tầng 2 có 2 phòng và 2wc khép kín; tầng 3,4 mỗi tầng 2 phòng và 1wc, cầu thang giữa.</p><p>Giữa 2 khối nhà có 15m làm giếng trời và cầu thang nối giữa 2 khối nhà trước và sau; phía sau có khe thoáng 80cm để lắp điều hòa, làm giếng trời và cửa thoát hiểm nên nhà rất thoáng;</p><p>có Giấy chứng nhận PCCN đúng quy định.</p><p>Sổ nợ hậu sãn sàng giao dịch<br/><br/></p>",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Thanh Xuân,,,8,,20 (m),6,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/c086a4b4-898d-49e4-94dc-ad11a111198f.jpg,0964360618,"[20.9971341, 105.8290537]"
Cực hiếm tòa văn phòng mặt phố ngô thị nhậm hbt 125m 6 tầng giá 100 tỷ.,100.0,125.0,Mua Bán,"Phường Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà Nội","<p>💥💥💥MẶT PHỐ CHÍNH - VỈA HÈ RỘNG - HIẾM NHÀ BÁN.</p><p>❤️❤️❤️ 💥 Nhà Xây Vuông Khung Đẹp</p><p>- Vị trí cực đẹp, hiếm có, vỉa hè rộng, ô tô dừng đỗ thoải mái, hiện chủ đang cho thuê 130 triệu/ tháng, hợp đồng còn 2 năm. ( CHỦ MỚI MUA SANG TÊN LẠI CHO THUÊ NỐT HAI NĂM RỒI HẾT HỢP ĐỒNG KINH DOANH GÌ SAU CŨNG ĐƯỢC )</p><p>- Vài bước ra chợ hôm, nhà Hát Lớn, Vincom, hồ Hoàn Kiếm.</p><p>- Thiết kế tầng 1.2.3 thông sàn. - Tầng 4.5 mỗi tầng 3 ngủ.</p><p>- Tầng 6 phòng bếp ăn, khách, phòng thờ.</p><p>- Pháp lý 1 sổ duy nhất 1 chủ sở hữu. Chính chủ<br/><br/></p>",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Hai Bà Trưng,,,6,,,20,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/b265aa60-ea4a-4722-a77e-47fbd652e6aa.jpg,0964360618,"[21.0164941, 105.8529308]"
Đấu giá tam hiệp thanh trì dt80m mt6m giá 7 tỷ 750 phân lô oto tránh,7.5,80.0,Mua Bán,"Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội","<p> PHÂN LÔ, Ô TÔ TRÁNH, VỈA HÈ, THÔNG SỐ VÀNG, KHUÔN ĐẤT ĐẸP, SỔ CẤT KÉT SẴN SÀNG GIAO DỊCH.</p><p> Phân lô, ô bàn cờ, đường trước nhà 12m, vỉa hè mỗi bên 3m,<br/> Vị trí đẹp gần chợ , trường học Tam Hiệp, cách đường Phan Trọng Tuệ chỉ 200m, giao thông thuận tiện.</p><p> phù hợp để ở hoặc làm VP công ty</p>",Có Sổ đỏ,Nhà đất thổ cư,Hà Nội,Thanh Trì,,,,,10 (m),6,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/5ee2d283-2ca8-42b3-a54a-ff7f1463f8a4.jpg,0964360618,"[20.9516283, 105.8326706]"
Siêu hiếm nhà mặt phố mai hắc đế hai bà trưng dt100m 8 tầng giá 64 tỷ,27.5,57.0,Mua Bán,"Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội",,Có Sổ đỏ,Nhà mặt phố,Hà Nội,Hai Bà Trưng,10.0,,8,,,,https://nhadat24h.net//Upload/User/DangTin/2023/Images/466072/69cd88a7-fa29-40d4-8f15-7e6ca85d56d0.jpg,0964360618,"[21.0112737, 105.8527389]"
Bán nhà mặt phố bạch mai hbt dt118m 5 tầng giá 26 tỷ 800 .,26.8,118.0,Mua Bán,"Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội","<p>MẶT PHỐ HAI BÀ - VỈA HÈ RỘNG - Ô TÔ 2 CHIỀU DỪNG ĐỖ - KINH DOANH SẦM UẤT</p><p>- Vị trí cực đẹp, mặt phố Bạch Mai, trung tâm quận Hai Bà Trưng, dễ dàng đi lại khắp thành phố.</p><p>- Hiện trạng là 2 khối nhà tổng 15 phòng ngủ, có thể lắp thêm thang máy:</p><p>- Tầng 1: Cửa hàng kinh doanh, kho và 2 phòng ngủ, có gác xép là phòng khách và bếp. - Tầng 2, 3, 4, 5: Mỗi tầng 2 phòng ngủ, và vs</p><p>_ Sổ đổ sẵn sàng giao dịch<br/><br/></p>",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Hai Bà Trưng,,,,,,,https://nhadat24h.net//Upload/User/DangTin/2024/Images/466072/9341a559-730a-4dda-8d11-65177886e55e.jpg,0964360618,"[21.0004767, 105.8517351]"
